date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,day_of_week_num,month,quarter,is_weekend,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_roll_mean_7,usage_cpu_roll_max_7,usage_cpu_roll_mean_30,usage_cpu_roll_max_30,cpu_utilization
2023-01-01,East US,VM,0.88,1959,470,104.97,0.99,1,Sunday,6,1,1,True,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
2023-01-01,East US,Storage,0.92,1595,388,104.97,0.99,1,Sunday,6,1,1,True,0.88,0.88,0.88,0.9,0.92,0.9,0.92,0.92
2023-01-01,East US,Container,0.7,621,414,104.97,0.99,1,Sunday,6,1,1,True,0.92,0.88,0.88,0.8333333333333334,0.92,0.8333333333333334,0.92,0.7
2023-01-02,East US,VM,0.96,1457,250,106.48,1.15,0,Monday,0,1,1,False,0.7,0.88,0.88,0.865,0.96,0.865,0.96,0.96
2023-01-02,East US,Storage,0.93,1767,330,106.48,1.15,0,Monday,0,1,1,False,0.96,0.92,0.88,0.8779999999999999,0.96,0.8779999999999999,0.96,0.93
2023-01-02,East US,Container,0.86,1146,220,106.48,1.15,0,Monday,0,1,1,False,0.93,0.7,0.88,0.875,0.96,0.875,0.96,0.86
2023-01-03,East US,VM,0.93,661,401,97.66,0.98,0,Tuesday,1,1,1,False,0.86,0.96,0.88,0.8828571428571428,0.96,0.8828571428571428,0.96,0.93
2023-01-03,East US,Storage,0.85,769,470,97.66,0.98,0,Tuesday,1,1,1,False,0.93,0.93,0.88,0.8785714285714287,0.96,0.87875,0.96,0.85
2023-01-03,East US,Container,0.57,1985,414,97.66,0.98,0,Tuesday,1,1,1,False,0.85,0.86,0.92,0.8285714285714285,0.96,0.8444444444444444,0.96,0.57
2023-01-04,East US,VM,0.91,730,240,115.79,1.08,0,Wednesday,2,1,1,False,0.57,0.93,0.7,0.8585714285714285,0.96,0.851,0.96,0.91
2023-01-04,East US,Storage,0.77,634,400,115.79,1.08,0,Wednesday,2,1,1,False,0.91,0.85,0.96,0.8314285714285715,0.93,0.8436363636363636,0.96,0.77
